Date,Time,Open,High,Low,Close,Volume
2025-04-17,01:00,3345.33,3353.31,3343.19,3352.78,12947
2025-04-17,01:15,3352.82,3356.22,3347.53,3348.02,10855
2025-04-17,01:30,3348.02,3348.12,3329.5,3342.77,25613
2025-04-17,01:45,3342.75,3342.75,3320.72,3323.9,23847
2025-04-17,02:00,3323.9,3335.24,3321.08,3335.06,17651
2025-04-17,02:15,3335.06,3338.65,3332.14,3337.2,7368
2025-04-17,02:30,3337.18,3339.93,3329.9,3331.69,9387
2025-04-17,02:45,3331.68,3340.52,3329.43,3340.33,7885
2025-04-17,03:00,3340.32,3341.7,3337.34,3340.8,6978
2025-04-17,03:15,3340.82,3343.12,3339.03,3342.72,5142
2025-04-17,03:30,3342.71,3343.14,3339.15,3341.89,5679
2025-04-17,03:45,3341.88,3344.51,3340.21,3344.46,4314
2025-04-17,04:00,3344.19,3344.22,3338.77,3343.65,6150
2025-04-17,04:15,3343.6,3343.6,3340.33,3341.79,3831
2025-04-17,04:30,3341.8,3341.82,3338.48,3338.5,3343
2025-04-17,04:45,3338.49,3341.66,3337.64,3341.46,2994
2025-04-17,05:00,3341.47,3345.4,3336.67,3336.74,6427
2025-04-17,05:15,3336.75,3340.85,3336.7,3336.79,3239
2025-04-17,05:30,3336.79,3337.37,3333.24,3333.3,7237
2025-04-17,05:45,3333.3,3336.12,3328.28,3329.32,6936
2025-04-17,06:00,3329.33,3330.88,3325.17,3330.72,13567
2025-04-17,06:15,3330.72,3333.01,3325.4,3327.89,9873
2025-04-17,06:30,3327.87,3332.95,3327.07,3329.08,8237
2025-04-17,06:45,3329.08,3332.39,3328.26,3328.88,8516
2025-04-17,07:00,3328.88,3329.95,3320.01,3322.0,12968
2025-04-17,07:15,3322.01,3323.07,3314.23,3316.84,16272
2025-04-17,07:30,3316.86,3325.24,3316.62,3323.17,10217
2025-04-17,07:45,3323.16,3324.2,3320.26,3323.4,7988
2025-04-17,08:00,3323.4,3324.9,3319.65,3322.3,7380
2025-04-17,08:15,3322.28,3323.38,3316.53,3316.57,7746
2025-04-17,08:30,3316.57,3321.16,3312.68,3318.3,10090
2025-04-17,08:45,3318.3,3324.21,3318.12,3324.2,5633
2025-04-17,09:00,3324.2,3324.61,3320.6,3322.48,5513
2025-04-17,09:15,3322.48,3326.86,3321.29,3323.86,9089
2025-04-17,09:30,3323.85,3324.7,3322.01,3322.02,5915
2025-04-17,09:45,3322.02,3323.62,3321.28,3321.55,4280
2025-04-17,10:00,3321.54,3324.48,3321.06,3324.15,5080
2025-04-17,10:15,3324.15,3334.23,3322.43,3325.61,8925
2025-04-17,10:30,3325.6,3329.93,3325.03,3328.6,6872
2025-04-17,10:45,3328.61,3329.13,3326.05,3327.61,4418
2025-04-17,11:00,3327.6,3331.01,3326.93,3329.76,4955
2025-04-17,11:15,3329.77,3332.45,3322.88,3326.88,9087
2025-04-17,11:30,3326.91,3329.77,3322.46,3323.14,6750
2025-04-17,11:45,3323.15,3327.57,3322.33,3327.34,8219
2025-04-17,12:00,3327.35,3338.53,3327.26,3336.19,8979
2025-04-17,12:15,3336.22,3342.44,3325.01,3325.04,15305
2025-04-17,12:30,3325.03,3329.35,3322.72,3324.09,14011
2025-04-17,12:45,3324.06,3328.34,3322.25,3328.18,11876
2025-04-17,13:00,3328.19,3331.48,3325.0,3326.32,12897
2025-04-17,13:15,3326.39,3329.15,3321.56,3322.81,13206
2025-04-17,13:30,3322.81,3331.99,3320.12,3329.47,18238
2025-04-17,13:45,3329.49,3329.66,3311.95,3315.08,21470
2025-04-17,14:00,3315.08,3315.08,3305.16,3312.55,25397
2025-04-17,14:15,3312.54,3313.5,3301.65,3303.45,18850
2025-04-17,14:30,3303.45,3304.43,3283.82,3294.64,35976
2025-04-17,14:45,3294.7,3296.82,3286.01,3291.26,22919
2025-04-17,15:00,3291.26,3303.9,3290.57,3303.39,20806
2025-04-17,15:15,3303.41,3304.77,3296.98,3298.02,13998
2025-04-17,15:30,3298.02,3299.82,3293.42,3297.24,9491
2025-04-17,15:45,3297.26,3299.37,3294.73,3296.29,7934
2025-04-17,16:00,3296.32,3299.97,3294.87,3299.71,9026
2025-04-17,16:15,3299.72,3310.07,3299.57,3309.99,9982
2025-04-17,16:30,3310.02,3313.7,3309.7,3310.4,9027
2025-04-17,16:45,3310.39,3318.69,3308.64,3316.1,9566
2025-04-17,17:00,3316.12,3322.39,3315.38,3319.31,9423
2025-04-17,17:15,3319.32,3320.43,3314.71,3315.06,7483
2025-04-17,17:30,3315.07,3318.62,3314.25,3318.51,4975
2025-04-17,17:45,3318.52,3322.25,3317.83,3318.94,5440
2025-04-17,18:00,3318.95,3320.85,3317.63,3319.21,4144
2025-04-17,18:15,3319.23,3320.33,3317.89,3319.12,4910
2025-04-17,18:30,3319.11,3319.11,3314.98,3316.66,3078
2025-04-17,18:45,3316.67,3317.38,3314.29,3316.37,3859
2025-04-17,19:00,3316.35,3317.91,3315.38,3315.54,3743
2025-04-17,19:15,3315.53,3315.6,3310.95,3312.73,4123
2025-04-17,19:30,3312.72,3320.15,3312.09,3320.08,4123
2025-04-17,19:45,3320.09,3321.82,3318.97,3320.72,5072
2025-04-17,20:00,3320.72,3322.43,3317.96,3321.88,2783
2025-04-17,20:15,3321.87,3324.98,3320.49,3324.8,2089
2025-04-17,20:30,3324.8,3327.33,3323.97,3326.85,1799
2025-04-17,20:45,3326.85,3328.58,3325.97,3327.05,2490
2025-04-20,22:00,3333.27,3338.44,3328.85,3338.29,3764
2025-04-20,22:15,3338.23,3352.92,3338.05,3343.39,5391
2025-04-20,22:30,3343.4,3347.91,3340.76,3346.71,3155
2025-04-20,22:45,3346.7,3348.26,3342.48,3345.95,2319
2025-04-20,23:00,3346.06,3351.82,3343.37,3347.78,5380
2025-04-20,23:15,3347.77,3349.11,3344.05,3348.78,4171
2025-04-20,23:30,3348.78,3350.79,3343.8,3346.48,3536
2025-04-20,23:45,3346.75,3349.66,3344.57,3348.03,3652
2025-04-21,00:00,3348.07,3356.26,3347.5,3354.17,8595
2025-04-21,00:15,3354.16,3356.07,3352.32,3355.49,4640
2025-04-21,00:30,3355.51,3370.55,3355.33,3369.79,10535
2025-04-21,00:45,3369.78,3369.81,3364.82,3368.69,7857
2025-04-21,01:00,3368.7,3376.43,3368.31,3373.57,15572
2025-04-21,01:15,3373.57,3375.7,3367.3,3370.99,9818
2025-04-21,01:30,3371.01,3377.0,3370.34,3376.13,7805
2025-04-21,01:45,3376.14,3378.44,3371.8,3377.53,6435
2025-04-21,02:00,3377.53,3382.55,3374.16,3377.48,10587
2025-04-21,02:15,3377.5,3382.11,3376.49,3381.54,7396
2025-04-21,02:30,3381.62,3384.52,3379.53,3382.7,7927
2025-04-21,02:45,3382.69,3384.95,3382.01,3384.79,6613
2025-04-21,03:00,3384.77,3385.17,3380.44,3381.18,7171
2025-04-21,03:15,3381.18,3383.15,3378.26,3382.27,6819
2025-04-21,03:30,3382.27,3385.13,3382.26,3383.06,4176
2025-04-21,03:45,3383.06,3384.59,3381.98,3382.41,4269
2025-04-21,04:00,3382.41,3382.42,3373.76,3373.76,7702
2025-04-21,04:15,3373.8,3376.63,3369.5,3374.39,7306
2025-04-21,04:30,3374.39,3377.01,3373.4,3376.98,3039
2025-04-21,04:45,3376.98,3377.02,3374.06,3376.39,2889
2025-04-21,05:00,3376.4,3385.78,3375.83,3382.62,10399
2025-04-21,05:15,3382.6,3382.99,3378.89,3381.66,4643
2025-04-21,05:30,3381.68,3384.28,3379.68,3382.65,7511
2025-04-21,05:45,3382.65,3385.84,3381.67,3385.38,5355
2025-04-21,06:00,3385.41,3389.6,3382.38,3388.02,10683
2025-04-21,06:15,3388.03,3390.85,3387.21,3389.48,7645
2025-04-21,06:30,3389.49,3391.69,3387.73,3390.96,7054
2025-04-21,06:45,3390.95,3393.09,3389.49,3392.11,6502
2025-04-21,07:00,3392.08,3394.8,3390.84,3393.65,7505
2025-04-21,07:15,3393.66,3395.96,3392.57,3394.35,7448
2025-04-21,07:30,3394.34,3395.64,3390.85,3391.57,7261
2025-04-21,07:45,3391.58,3391.62,3381.7,3385.03,12360
2025-04-21,08:00,3385.03,3387.59,3383.64,3385.32,7162
2025-04-21,08:15,3385.33,3390.02,3383.98,3389.18,7275
2025-04-21,08:30,3389.15,3390.28,3387.09,3390.19,4780
2025-04-21,08:45,3390.17,3394.16,3390.16,3392.73,6464
2025-04-21,09:00,3392.75,3396.48,3392.09,3394.35,5743
2025-04-21,09:15,3394.35,3397.01,3391.71,3395.78,6692
2025-04-21,09:30,3395.79,3396.16,3393.47,3395.35,5692
2025-04-21,09:45,3395.35,3395.45,3390.86,3394.87,6106
2025-04-21,10:00,3394.86,3396.88,3392.86,3396.88,4412
2025-04-21,10:15,3396.87,3397.7,3394.71,3395.79,5398
2025-04-21,10:30,3395.78,3396.42,3392.12,3392.64,5992
2025-04-21,10:45,3392.61,3396.84,3391.98,3394.91,5943
2025-04-21,11:00,3394.9,3394.9,3386.38,3388.84,6890
2025-04-21,11:15,3388.84,3392.69,3386.63,3392.67,9946
2025-04-21,11:30,3392.7,3404.1,3392.55,3403.46,12158
2025-04-21,11:45,3403.46,3405.86,3401.74,3404.41,6556
2025-04-21,12:00,3404.45,3406.63,3401.59,3402.62,6797
2025-04-21,12:15,3402.62,3407.79,3397.99,3398.45,13690
2025-04-21,12:30,3398.48,3407.29,3398.11,3407.26,9591
2025-04-21,12:45,3407.24,3415.69,3406.7,3414.85,10716
2025-04-21,13:00,3414.83,3424.38,3414.72,3420.66,20136
2025-04-21,13:15,3420.67,3421.63,3412.82,3416.63,14022
2025-04-21,13:30,3416.63,3420.42,3405.06,3416.85,25854
2025-04-21,13:45,3416.85,3426.76,3414.69,3420.41,17919
2025-04-21,14:00,3420.41,3430.23,3419.17,3426.44,14925
2025-04-21,14:15,3426.44,3429.38,3421.47,3426.43,15627
2025-04-21,14:30,3426.41,3427.66,3415.28,3418.14,17015
